Year,San Diego County ,Value
1969,San Diego County,4728
1970,,5140
1971,,5418
1972,,5854
1973,,6175
1974,,6716
1975,,7157
1976,,7863
1977,,8412
1978,,9327
1979,,10272
1980,,11556
1981,,12823
1982,,13573
1983,,14320
1984,,15688
1985,,16730
1986,,17650
1987,,18402
1988,,19464
1989,,20455
1990,,21002
1991,,21555
1992,,22302
1993,,22762
1994,,23291
1995,,24275
1996,,25615
1997,,26978
1998,,29356
1999,,31343
2000,,33869
2001,,34325
2002,,35314
2003,,37078
2004,,39834
2005,,41543
2006,,43640
2007,,44546
2008,,44860
2009,,42771
2010,,43802
2011,,45977
2012,,47704
2013,,48815
2014,,51230
2015,,53679
2016,,55056
2017,,56802
2018,,58719
2019,,60845
2020,,66266
