Year,Condition,Value
2019,Asthma,8.41
2019,COPD,5.02
2019,Coronary Heart Disease,4.62
2019,Diabetes,8.7
2019,Cancer (except skin),5.72
2018,Asthma,8.84
2018,COPD,4.98
2018,Coronary Heart Disease,5.02
2018,Diabetes,9.06
2018,Cancer (except skin),5.84
2017,Asthma,8.46
2017,COPD,4.35
2017,Coronary Heart Disease,4.21
2017,Diabetes,8.58
2017,Cancer (except skin),5.49
2016,Asthma,7.91
2016,COPD,4.28
2016,Coronary Heart Disease,4.26
2016,Diabetes,7.9
2016,Cancer (except skin),5.45
2015,Asthma,8.08
2015,COPD,4.43
2015,Coronary Heart Disease,4.46
2015,Diabetes,8.35
2015,Cancer (except skin),5.14
2014,Asthma,8.05
2014,COPD,4.72
2014,Coronary Heart Disease,4.75
2014,Diabetes,8.87
2014,Cancer (except skin),5.22
